[2019-04-13 05:20:46] RabbitPrint.WARNING:  | | | data_pelanggan.php -> sel_pelanggan : SELECT * FROM pelanggan [] []
[2019-04-13 05:20:46] RabbitPrint.WARNING:  | | | data_pelanggan.php -> jml. pelanggan : 1 [] []
[2019-04-13 05:20:46] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> load [] []
[2019-04-13 05:20:46] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> sel_psn : SELECT * FROM pesanan WHERE pesanan_no_pesanan = 'PSN-190319-001' [] []
[2019-04-13 05:20:46] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> sel_plg : SELECT pelanggan_nama FROM pelanggan WHERE pelanggan_id = 4 [] []
[2019-04-13 05:20:46] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> sel_detailpsn : SELECT * FROM detail_pesanan WHERE detail_pesanan_no_pesanan = 'PSN-190319-001' [] []
[2019-04-13 05:21:06] RabbitPrint.WARNING:  | | | proses_lihat_pesanan.php -> load.. [] []
[2019-04-13 05:21:06] RabbitPrint.WARNING:  | | | proses_lihat_pesanan.php -> upd_pesanan : UPDATE pesanan SET upd_tms = NOW(), pesanan_no_surat_jalan_masuk = ASD123, pesanan_total_qty = 0, pesanan_total_qty_packing = 0 WHERE pesanan_no_pesanan = PSN-190319-001 [] []
[2019-04-13 05:21:06] RabbitPrint.WARNING:  | | | proses_lihat_pesanan.php -> list_barang : [{"detail_pesanan_nama_barang":"qwerty","detail_pesanan_jenis_print":"Tayo ABC","detail_pesanan_warna":"4","detail_pesanan_satuan":"Kg","detail_pesanan_jenis_packing":"Roll","packing_list":[]}] [] []
[2019-04-13 05:21:06] RabbitPrint.WARNING:  | | | proses_lihat_pesanan.php -> hapus surat jalan [] []
[2019-04-13 05:21:06] RabbitPrint.WARNING:  | | | proses_lihat_pesanan.php -> select : SELECT surat_jalan_key FROM surat_jalan WHERE surat_jalan_no_pesanan = PSN-190319-001 [] []
[2019-04-13 05:21:21] RabbitPrint.WARNING:  | | | data_pelanggan.php -> sel_pelanggan : SELECT * FROM pelanggan [] []
[2019-04-13 05:21:21] RabbitPrint.WARNING:  | | | data_pelanggan.php -> jml. pelanggan : 1 [] []
[2019-04-13 05:21:21] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> load [] []
[2019-04-13 05:21:21] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> sel_psn : SELECT * FROM pesanan WHERE pesanan_no_pesanan = 'PSN-190319-001' [] []
[2019-04-13 05:21:21] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> sel_plg : SELECT pelanggan_nama FROM pelanggan WHERE pelanggan_id = 4 [] []
[2019-04-13 05:21:21] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> sel_detailpsn : SELECT * FROM detail_pesanan WHERE detail_pesanan_no_pesanan = 'PSN-190319-001' [] []
[2019-04-13 05:22:48] RabbitPrint.WARNING:  | | | data_pelanggan.php -> sel_pelanggan : SELECT * FROM pelanggan [] []
[2019-04-13 05:22:48] RabbitPrint.WARNING:  | | | data_pelanggan.php -> jml. pelanggan : 1 [] []
[2019-04-13 05:22:48] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> load [] []
[2019-04-13 05:22:48] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> sel_psn : SELECT * FROM pesanan WHERE pesanan_no_pesanan = 'PSN-190319-001' [] []
[2019-04-13 05:22:48] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> sel_plg : SELECT pelanggan_nama FROM pelanggan WHERE pelanggan_id = 4 [] []
