[2019-12-13 05:22:18] RabbitPrint.WARNING:  | | | daftar_invoice.php -> membuka halaman [] []
[2019-12-13 05:22:18] RabbitPrint.WARNING:  | | | daftar_invoice.php -> sel_invoice : SELECT inv.*, plg.pelanggan_nama FROM invoice_keluar inv JOIN pelanggan plg ON plg.pelanggan_id = inv.invoice_keluar_pelanggan_id ORDER BY inv.invoice_keluar_id DESC [] []
[2019-12-13 05:22:18] RabbitPrint.WARNING:  | | | data_pelanggan.php -> sel_pelanggan : SELECT p.* FROM pelanggan p JOIN invoice_keluar inv ON p.pelanggan_id = inv.invoice_keluar_pelanggan_id WHERE p.pelanggan_id > 0 GROUP BY p.pelanggan_nama; [] []
[2019-12-13 05:22:32] RabbitPrint.WARNING:  | | | proses_login.php -> cek user -> sql_user : SELECT * FROM s_user WHERE username LIKE 'superuser' AND password LIKE '21232f297a57a5a743894a0e4a801fc3' LIMIT 1 [] []
[2019-12-13 05:22:32] RabbitPrint.WARNING:  | | | proses_login.php -> id_user : 1 [] []
[2019-12-13 05:22:32] RabbitPrint.WARNING:  | | | proses_login.php -> insert ke s_login -> sql_login : INSERT INTO s_login (key_login, id_user, waktu_login, waktu_kadaluarsa, status, ip, pc_dan_browser) VALUES ('15761893522347', '1', '2019-12-13 05:22:32', '2019-12-14 05:22:32', '1', '::1', 'mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/78.0.3904.108 safari/537.36') [] []
[2019-12-13 05:22:32] RabbitPrint.WARNING:  | | | proses_login.php -> insert ke s_login -> SUCCESS [] []
[2019-12-13 05:22:32] RabbitPrint.WARNING:  | | | proses_login.php -> LOGIN SUKSES!! [] []
[2019-12-13 05:22:47] RabbitPrint.WARNING:  | | | daftar_pesanan.php -> membuka halaman [] []
[2019-12-13 05:22:47] RabbitPrint.WARNING:  | | | daftar_pesanan.php -> sel_pesanan : SELECT psn.*, plg.pelanggan_nama	FROM pesanan psn JOIN pelanggan plg ON plg.pelanggan_id = psn.pesanan_pelanggan_id ORDER BY psn.pesanan_id DESC [] []
[2019-12-13 05:22:47] RabbitPrint.WARNING:  | | | daftar_pesanan.php -> jml. pesanan : 0 [] []
